CHEMICAL VVL,CHEMICAL NAME,NATURALLY OCCURRING,UNITS,COMPARISON CONCENTRATION (VALUE),COMPARISON CONCENTRATION TYPE,DDW (WQM),DDW (SDWIS),DPR,DWR,WB CLEANUP (EDF),GAMA DOM (EL_DORADO),GAMA SP-STUDY (LLNL),GAMA DOM (TEHAMA),GAMA USGS,GAMA DOM (YUBA),WRD,USGS (NWIS)
B,Boron,X,MG/L,1,NL,1020,1079,,Dissolved Boron,B,,,,"Boron, wf",,1020,"Boron, water, filtered, micrograms per liter -- Boron, water, unfiltered, recoverable, micrograms per liter"
BROMCIL,Bromacil,,UG/L,70,HAL-US,82198,2098,83,Bromacil,BROMCIL,,,,"Bromacil, wf",,82198,"Bromacil, water, filtered, recoverable, micrograms per liter -- Bromacil, water, unfiltered, recoverable, micrograms per liter"
BRO3,Bromate,,UG/L,10,MCL,A-027,1011,,,BRO3,,,,,,A-027,
BR,Bromide,X,MG/L,0,No Comparison Conc.,82298,1004,,,BR,,,,"Bromide, wf",,82298,"Bromide, water, filtered, micrograms per liter -- Bromide, water, filtered, milligrams per liter"
BRACETICA,Bromoacetic Acid,,UG/L,0,No Comparison Conc.,A-041,2453,,Monobromoacetic Acid (MBAA),BRACETICA,,,,,,A-041,
BDCME,Bromodichloromethane (THM),,UG/L,80,MCL,32101,2943,,Bromodichloromethane,BDCME,BROMODICHLOROMETHANE/ DICHLOROBROMOMETHANE,,BDCME,"Bromochloromethane, wu",BROMODICHLOROMETHANE/ DICHLOROBROMOMETHANE,32101,"Bromodichloromethane, water, filtered, recoverable, micrograms per liter -- Bromodichloromethane, water, unfiltered, recoverable, micrograms per liter"
TBME,Bromoform (THM),,UG/L,80,MCL,32104,2942,,Bromoform,TBME,BROMOFORM (THM),,TBME," -- Tribromomethane, wu",BROMOFORM (THM),32104,"Tribromomethane, water, filtered, recoverable, micrograms per liter -- Tribromomethane, water, unfiltered, recoverable, micrograms per liter"
CD,Cadmium,X,UG/L,5,MCL,1027,1015,,Dissolved Cadmium -- Total Cadmium,CD,CADMIUM,,CD,"Cadmium, wf","Cadmium, GFAA",1027,"Cadmium, bed sediment, recoverable, dry weight, milligrams per kilogram -- Cadmium, water, filtered, micrograms per liter -- Cadmium, water, unfiltered, micrograms per liter"
CA,Calcium,X,MG/L,0,No Comparison Conc.,916,1919,,,CA,CALCIUM,CALCIUM,CA,"Calcium, wf","Calcium, Titrimetric",916,"Calcium, bed sediment, dry weight, milligrams per kilogram -- Calcium, suspended sediment, milligrams per liter -- Calcium, water, filtered, milligrams per liter -- Calcium, water, unfiltered, recoverable, milligrams per liter"
CARBAMPINE,Carbamazepine ,,UG/L,0,No Comparison Conc.,A-061,C271,,,CARBAMPINE,,,,"Carbamazepine, wf",,A-061,
