"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","usgsdw_sum","oswcrdw_sum","CRF4","oswcr_per","usgs_per","wq_score","wq_per","datacov"
"060373011006",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",1,0,1,1,0.21,0,100,0,12,430.6,84,100
"060373012031",2,2,9.66,"TCE; PCE","TCPR123; NO3N",1,1,2,2,2.35,0,75,0,37,297.49,73,100
"060373012032",2,1,9.66,"TCE; PCE","TCPR123",1,0,1,1,3.13,0,100,0,42,346.65,78,100
"060373012041",3,2,3.97,"TCE; PCE; CTCL","CR; NO3N",2,0,2,2,1.76,0,100,0,33,439.68,85,100
"060373012042",3,3,5.39,"TCE; PCE; CTCL","CR; TCPR123; NO3N",3,1,4,4,1.18,0,87.5,0,28,440.93,85,100
"060373012043",3,1,6.79,"TCE; PCE; CTCL","TCPR123",2,0,2,2,1.36,0,100,0,30,417.92,83,100
"060373012053",2,1,9.66,"TCE; PCE","TCPR123",1,0,1,1,1.72,0,100,0,33,346.65,78,100
"060373012061",3,1,6.79,"TCE; PCE; CTCL","TCPR123",2,0,2,2,1.35,0,100,0,29,417.92,83,100
"060373012064",3,0,4.88,"TCE; PCE; CTCL","",1,0,1,1,1.7,0,100,0,33,348.77,79,100
"060373013001",2,1,9.66,"TCE; PCE","TCPR123",1,0,1,1,0.71,0,100,0,22,346.65,78,100
"060373018013",3,2,3.97,"TCE; PCE; CTCL","CR; NO3N",2,0,2,2,0.1,0,100,0,8,439.68,85,100
"060373022023",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",1,0,1,1,0.49,0,100,0,18,430.6,84,100
"060373022024",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",1,0,1,1,0.24,0,100,0,13,430.6,84,100
"060373023021",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",1,0,1,1,1.73,0,100,0,33,430.6,84,100
"060373023022",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",2,0,2,2,0.65,0,100,0,21,430.6,84,100
"060373023023",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",2,0,2,2,0.57,0,100,0,20,430.6,84,100
"060373023024",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",1,0,1,1,1.29,0,100,0,29,430.6,84,100
"060373024011",3,4,2.55,"TCE; PCE; CTCL","TCE; PCE; CR; NO3N",4,0,4,4,0.92,0,100,0,25,525.46,89,100
"060373024012",3,4,2.55,"TCE; PCE; CTCL","TCE; PCE; CR; NO3N",2,0,2,2,1.43,0,100,0,30,525.46,89,100
"060373024013",3,3,2.03,"TCE; PCE; CTCL","TCE; PCE; NO3N",2,0,2,2,1.8,0,100,0,33,470.31,87,100
"060373024014",3,4,2.55,"TCE; PCE; CTCL","TCE; PCE; CR; NO3N",2,0,2,2,6.83,0,100,0,54,525.46,89,100
"060373025033",3,2,3.06,"TCE; PCE; CTCL","CR; NO3N",1,0,1,1,0.32,0,100,0,15,430.6,84,100
"060373025042",3,4,2.55,"TCE; PCE; CTCL","TCE; PCE; CR; NO3N",2,0,2,2,0.72,0,100,0,22,525.46,89,100
"060373025043",3,4,2.55,"TCE; PCE; CTCL","TCE; PCE; CR; NO3N",2,0,2,2,0.27,0,100,0,14,525.46,89,100
"060373025052",3,3,2.03,"TCE; PCE; CTCL","TCE; PCE; NO3N",1,0,1,1,0.05,0,100,0,6,470.31,87,100
"060373103004",7,5,22.31,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",2,0,2,2,0.01,0,100,0,2,1173.12,99,100
"060373104001",7,5,22.31,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",2,0,2,2,3.72,0,100,0,44,1173.12,99,100
"060373104002",7,5,21.68,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",1,0,1,1,2.13,0,100,0,36,1166.77,99,100
"060373104003",7,5,21.71,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",2,0,2,2,0.41,0,100,0,17,1167.13,99,100
"060373105011",7,5,27.26,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",3,0,3,3,5.32,0,100,0,50,1222.62,100,100
"060373105012",7,6,27.09,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; ALPHA; CR6; DCE11",4,0,4,4,0.11,0,100,0,9,1270.92,100,100
"060373105013",7,6,29.17,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; ALPHA; CR6; DCE11",3,0,3,3,0.06,0,100,0,6,1291.7,100,100
"060373106011",7,4,26.15,"TCPR123; PCE; TCE; NO3N; CTCL; CR6; NO2","NO3N; CTCL; CR6; DCE11",2,0,2,2,1.86,0,100,0,34,1161.48,99,100
"060373106012",7,5,26.18,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",4,0,4,4,10.53,0,100,0,61,1211.83,99,100
"060373106013",7,5,22.31,"TCPR123; PCE; TCE; CTCL; NO3N; CR6; NO2","TCE; CTCL; NO3N; CR6; DCE11",2,0,2,2,4.29,0,100,0,47,1173.12,99,100
"060373106022",7,4,26.15,"TCPR123; PCE; TCE; NO3N; CTCL; CR6; NO2","NO3N; CTCL; CR6; DCE11",2,0,2,2,0.12,0,100,0,9,1161.48,99,100
"060373108002",7,4,28.48,"TCE; PCE; CR6; NO3N; CTCL; TCPR123; NO2","CR6; NO3N; CTCL; DCE11",2,0,2,2,0.93,0,100,0,25,1184.82,99,100
