MTRS,DomWellCou,Count of chemical constituents above MCL,Count of chemical constituents within 80% of MCL,Average MCL Index (for results above MCL),List of chemical constituents above MCL,List of chemical constituents within 80% of MCL,Section Risk Category
H01S02W09,0,,,,,,
H01S02W10,0,,,,,,
H01S02W11,0,,,,,,
H01S02W12,0,,,,,,
H01S02W13,0,,,,,,
H01S02W14,0,,,,,,
H01S02W15,0,,,,,,
H01S02W16,0,,,,,,
H01S02W17,0,,,,,,
H01S02W18,0,,,,,,
H01S02W19,0,,,,,,
H01S02W20,0,,,,,,
H01S02W21,0,,,,,,
H01S02W22,0,,,,,,
H01S02W23,0,,,,,,
H01S02W24,0,,,,,,
H01S02W25,0,,,,,,
H01S02W26,0,,,,,,
H01S02W27,0,,,,,,
H01S02W28,0,,,,,,
H01S02W29,0,,,,,,
H01S02W30,0,,,,,,
H01S02W31,0,,,,,,
H01S02W32,1,,,,,,
H01S02W33,0,,,,,,
H01S02W34,0,,,,,,
H01S02W35,0,,,,,,
H01S02W36,0,,,,,,
H01S03E01,0,,,,,,
H01S03E02,0,,,,,,
H01S03E03,0,,,,,,
H01S03E04,0,,,,,,
H01S03E05,0,,,,,,
H01S03E06,0,,,,,,
H01S03E07,0,,,,,,
H01S03E08,0,,,,,,
H01S03E09,0,,,,,,
H01S03E10,0,,,,,,
H01S03E11,0,,,,,,
H01S03E12,0,,,,,,
H01S03E13,0,,,,,,
H01S03E14,0,,,,,,
H01S03E15,0,,,,,,
H01S03E16,0,,,,,,
H01S03E17,0,,,,,,
H01S03E18,0,,,,,,
H01S03E19,0,,,,,,
H01S03E20,0,,,,,,
H01S03E21,0,,,,,,
H01S03E22,0,,,,,,
H01S03E23,0,,,,,,
H01S03E24,0,,,,,,
H01S03E25,0,,,,,,
H01S03E26,0,,,,,,
H01S03E27,0,,,,,,
H01S03E28,0,,,,,,
H01S03E29,0,,,,,,
H01S03E30,1,,,,,,
H01S03E31,0,,,,,,
H01S03E32,0,,,,,,
H01S03E33,0,,,,,,
H01S03E34,0,,,,,,
H01S03E35,0,,,,,,
H01S03E36,0,,,,,,
H01S03W01,0,,,,,,
H01S03W02,0,,,,,,
H01S03W03,0,,,,,,
H01S03W11,0,,,,,,
H01S03W12,0,,,,,,
H01S03W13,0,,,,,,
H01S03W14,0,,,,,,
H01S03W24,1,,,,,,
H01S03W25,0,,,,,,
H01S03W36,0,,,,,,
H01S04E01,0,,,,,,
H01S04E02,1,,,,,,
H01S04E03,0,,,,,,
H01S04E04,0,,,,,,
H01S04E05,0,,,,,,
H01S04E06,0,,,,,,
H01S04E07,0,,,,,,
H01S04E08,0,,,,,,
H01S04E09,1,,,,,,
H01S04E10,0,,,,,,
H01S04E11,0,,,,,,
H01S04E12,0,,,,,,
H01S04E13,0,,,,,,
H01S04E14,0,,,,,,
H01S04E15,0,,,,,,
H01S04E16,0,,,,,,
H01S04E17,0,,,,,,
H01S04E18,0,,,,,,
