"GEOID","wq_risk","comb_risk","wq_score","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status"
"060372172002",0,0,0,0,758,0,0,0,0,"DAC"
"060372182101",0,0,0,0,1039,0,0,0,0,"SDAC"
"060372183002",0,0,0,0,792,0,0,0,0,"DAC"
"060372183003",0,0,0,0,889,0,0,0,0,"None"
"060372183004",0,0,0,0,1429,0,0,0,0,"DAC"
"060372187022",0,0,0,0,1316,0,0,0,0,"SDAC"
"060372190102",0,0,0,0,1677,0,0,0,0,"None"
"060372190201",0,0,0,0,1910,0,0,0,0,"DAC"
"060372190202",0,0,0,0,1952,0,0,0,0,"DAC"
"060372190203",0,0,0,0,1078,0,0,0,0,"None"
"060372193001",0,0,0,0,951,0,0,0,0,"None"
"060372195001",0,0,0,0,592,0,0,0,0,"DAC"
"060372195002",0,0,0,0,1185,0,0,0,0,"None"
"060372218201",0,0,0,0,755,0,0,0,0,"SDAC"
"060372220012",0,0,0,0,1748,0,0,0,0,"None"
"060372220021",0,0,0,0,1229,0,0,0,0,"SDAC"
"060372220022",0,0,0,0,1419,0,0,0,0,"DAC"
"060372220023",0,0,0,0,933,0,0,0,0,"None"
"060372220024",0,0,0,0,1485,0,0,0,0,"None"
"060372221002",0,0,0,0,1893,0,0,0,0,"None"
"060372221003",0,0,0,0,588,0,0,0,0,"None"
"060372225001",0,0,0,0,1408,0,0,0,0,"DAC"
"060372225002",0,0,0,0,2422,0,0,0,0,"SDAC"
"060372225003",0,0,0,0,1614,0,0,0,0,"DAC"
"060372247001",0,0,0,0,2726,0,0,0,0,"SDAC"
"060372247002",0,0,0,0,3035,0,0,0,0,"SDAC"
"060372287201",0,0,0,0,984,0,0,0,0,"DAC"
"060372287202",0,0,0,0,2090,0,0,0,0,"DAC"
"060372288001",0,0,0,0,534,0,0,0,0,"Data Not Available"
"060372288004",0,0,0,0,2198,0,0,0,0,"SDAC"
"060372312101",0,0,0,0,1065,0,0,0,0,"SDAC"
"060372313004",0,0,0,0,775,0,0,0,0,"None"
"060372314001",0,0,0,0,1315,0,0,0,0,"SDAC"
"060372314002",0,0,0,0,1734,0,0,0,0,"SDAC"
"060372314003",0,0,0,0,1607,0,0,0,0,"DAC"
"060372315001",0,0,0,0,1572,0,0,0,0,"SDAC"
"060372315002",0,0,0,0,2113,0,0,0,0,"DAC"
"060372315003",0,0,0,0,1410,0,0,0,0,"None"
"060372317102",0,0,0,0,1476,0,0,0,0,"SDAC"
"060372317201",0,0,0,0,2846,0,0,0,0,"SDAC"
"060372317203",0,0,0,0,1241,0,0,0,0,"SDAC"
"060372340001",0,0,0,0,1890,0,0,0,0,"DAC"
"060372340002",0,0,0,0,612,0,0,0,0,"None"
"060372340003",0,0,0,0,781,0,0,0,0,"None"
"060372340004",0,0,0,0,1307,0,0,0,0,"None"
"060372340005",0,0,0,0,566,0,0,0,0,"SDAC"
"060372342001",0,0,0,0,790,0,0,0,0,"DAC"
"060372342002",0,0,0,0,673,0,0,0,0,"None"
"060372342003",0,0,0,0,898,0,0,0,0,"None"
"060372343001",0,0,0,0,1175,0,0,0,0,"SDAC"
"060372343002",0,0,0,0,827,0,0,0,0,"SDAC"
"060372343003",0,0,0,0,1099,0,0,0,0,"DAC"
"060372343004",0,0,0,0,839,0,0,0,0,"DAC"
"060372348001",0,0,0,0,941,0,0,0,0,"None"
"060372348002",0,0,0,0,1167,0,0,0,0,"None"
"060372348003",0,0,0,0,784,0,0,0,0,"None"
"060372348004",0,0,0,0,584,0,0,0,0,"DAC"
"060372351003",0,0,0,0,1366,0,0,0,0,"None"
"060372352011",0,0,0,0,1040,0,0,0,0,"SDAC"
"060372352021",0,0,0,0,2370,0,0,0,0,"SDAC"
"060372352022",0,0,0,0,1492,0,0,0,0,"SDAC"
"060372352023",0,0,0,0,667,0,0,0,0,"DAC"
"060372361001",0,0,0,0,573,0,0,0,0,"SDAC"
"060372361002",0,0,0,0,1129,0,0,0,0,"Data Not Available"
"060372361003",0,0,0,0,1724,0,0,0,0,"SDAC"
"060372361004",0,0,0,0,2031,0,0,0,0,"SDAC"
"060372361005",0,0,0,0,351,0,0,0,0,"SDAC"
"060372362032",0,0,0,0,872,0,0,0,0,"SDAC"
"060372364001",0,0,0,0,1462,0,0,0,0,"None"
"060372364002",0,0,0,0,1928,0,0,0,0,"None"
"060372372021",0,0,0,0,1543,0,0,0,0,"SDAC"
"060372373001",0,0,0,0,1057,0,0,0,0,"Data Not Available"
"060372373004",0,0,0,0,1019,0,0,0,0,"DAC"
"060372375002",0,0,0,0,1047,0,0,0,0,"SDAC"
"060372376002",0,0,0,0,871,0,0,0,0,"Data Not Available"
"060372377101",0,0,0,0,2287,0,0,0,0,"SDAC"
"060372377201",0,0,0,0,944,0,0,0,0,"SDAC"
"060372378001",0,0,0,0,959,0,0,0,0,"None"
"060372378002",0,0,0,0,944,0,0,0,0,"None"
"060372378003",0,0,0,0,743,0,0,0,0,"Data Not Available"
"060372378004",0,0,0,0,1018,0,0,0,0,"SDAC"
"060372379001",0,0,0,0,1256,0,0,0,0,"None"
"060372379002",0,0,0,0,1563,0,0,0,0,"SDAC"
"060372381001",0,0,0,0,1323,0,0,0,0,"SDAC"
"060372381002",0,0,0,0,1283,0,0,0,0,"SDAC"
"060372381003",0,0,0,0,851,0,0,0,0,"DAC"
"060372382001",0,0,0,0,1358,0,0,0,0,"DAC"
"060372382003",0,0,0,0,856,0,0,0,0,"DAC"
"060372382004",0,0,0,0,1236,0,0,0,0,"DAC"
"060372383101",0,0,0,0,2454,0,0,0,0,"SDAC"
"060372383102",0,0,0,0,2564,0,0,0,0,"SDAC"
"060372384001",0,0,0,0,761,0,0,0,0,"DAC"
"060372384002",0,0,0,0,1239,0,0,0,0,"SDAC"
"060372409001",0,0,0,0,1188,0,0,0,0,"Data Not Available"
"060372409002",0,0,0,0,1916,0,0,0,0,"DAC"
"060372409003",0,0,0,0,1367,0,0,0,0,"DAC"
"060372410011",0,0,0,0,1694,0,0,0,0,"DAC"
"060372413001",0,0,0,0,776,0,0,0,0,"Data Not Available"
"060372413002",0,0,0,0,1677,0,0,0,0,"DAC"
"060372414002",0,0,0,0,1984,0,0,0,0,"SDAC"
"060372420002",0,0,0,0,2020,0,0,0,0,"SDAC"
"060372426001",0,0,0,0,1531,0,0,0,0,"SDAC"
"060372427002",0,0,0,0,508,0,0,0,0,"SDAC"
"060372427003",0,0,0,0,795,0,0,0,0,"DAC"
"060372427004",0,0,0,0,2148,0,0,0,0,"SDAC"
"060372611012",0,0,0,0,1574,0,0,0,0,"None"
"060372611021",0,0,0,0,599,0,0,0,0,"None"
"060372611022",0,0,0,0,3096,0,0,0,0,"None"
"060372623021",0,0,0,0,1596,0,0,0,0,"None"
"060372623032",0,0,0,0,802,0,0,0,0,"None"
"060372624001",0,0,0,0,953,0,0,0,0,"None"
"060372625011",0,0,0,0,942,0,0,0,0,"None"
"060372625012",0,0,0,0,887,0,0,0,0,"None"
