"WELL_ID","PRF1","PRF2","PRF3","PL1","PL2","risk","LATITUDE","LONGITUDE","SOURCE"
"SLO1069",2,0,1.405,"AS; NO3N","","high",35.6582,-120.728225,"LOCALGW"
"SLO1070",0,0,NA,"","","low",35.60194,-120.674772,"LOCALGW"
"SLO1071",0,0,NA,"","","low",35.598839,-120.667566,"LOCALGW"
"SLO1072",1,0,1.6,"AS","","high",35.612159,-120.695429,"LOCALGW"
"SLO1073",0,0,NA,"","","low",35.649889,-120.543564,"LOCALGW"
"SLO1074",0,0,NA,"","","low",35.435027,-120.628429,"LOCALGW"
"SLO1075",0,1,NA,"","NO3N","med",35.711502,-120.576094,"LOCALGW"
"SLO1076",0,0,NA,"","","low",35.284383,-119.985954,"LOCALGW"
"SLO1077",0,1,NA,"","NO3N","med",35.379547,-120.410321,"LOCALGW"
"SLO1078",0,0,NA,"","","low",35.3961,-120.57065,"LOCALGW"
"SLO1079",0,0,NA,"","","low",35.43825,-120.48878,"LOCALGW"
