GEOID,CRF1,CRF2,CRF3,CL1,CL2,highsec,medsec,datasec,areasec,CRF4,wq_score,wq_per,datacov
60374623021,3,4,1.37,TCPR123; NO3N; PCE,NO3N; TCPR123; CR6; PCATE,2,0,2,2,100,513.7,88,100
60374623022,3,4,1.37,TCPR123; NO3N; PCE,NO3N; TCPR123; CR6; PCATE,2,0,2,2,100,513.7,88,100
60374623023,3,4,1.37,TCPR123; NO3N; PCE,NO3N; TCPR123; CR6; PCATE,2,0,2,2,100,513.7,88,100
60374624001,1,3,1.26,TCPR123,NO3N; TCPR123; PCATE,2,0,2,2,100,262.6,69,100
60374624002,1,3,1.26,TCPR123,NO3N; TCPR123; PCATE,2,0,2,2,100,262.6,69,100
60374624003,1,3,1.26,TCPR123,NO3N; TCPR123; PCATE,2,0,2,2,100,262.6,69,100
60374624004,1,3,1.26,TCPR123,NO3N; TCPR123; PCATE,2,0,2,2,100,262.6,69,100
60374625003,2,3,1.12,F; TCPR123,TCPR123; NO3N; PCATE,2,0,2,2,100,361.2,80,100
60374625004,2,3,1.19,TCPR123; F,TCPR123; NO3N; PCATE,2,0,2,2,100,361.9,80,100
60374626001,2,3,1.22,TCPR123; F,TCPR123; NO3N; PCATE,4,0,4,4,100,362.18,80,100
