"GEOID","CRF1","CRF2","CRF3","CL1","CL2","highsec","medsec","datasec","areasec","CRF4","wq_score","datacov","wq_risk","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status","prio1","comb_risk"
60830018001,4,2,2.44,"AS; CR6; NO3N; TCPR123","CR6; NO3N",35,4,165,1273,2.91,15.24,12.96,9,1,1100,100.75,0,100.75,0.058,"None",10,6
60830019011,8,5,2.77,"DCE12C; AS; VC; TL; CR6; NO3N; ALPHA; THM","DCE12C; NO3N; CR6; SE; CN",19,4,91,202,10.4,112.04,45.05,40,10,1440,147.88,1,148.88,0.654,"None",50,35
60830019013,3,2,4.08,"AS; TL; NO3N","SE; CN",6,1,9,9,72.22,318.37,100,76,60,2446,20.32,3,23.32,5.729,"None",136,91
60830019014,2,0,4.32,"TL; NO3N","",2,0,5,5,40,97.28,100,35,76,2130,15.57,0,15.57,11.789,"None",111,83
60830019015,2,2,6.53,"AS; TL","SE; CN",3,0,4,4,75,273.97,100,72,68,572,10.81,0,10.81,7.805,"None",140,92
60830019031,4,5,1.37,"CR6; ALPHA; THM; AL","DCE12C; CR6; ALPHA; NO3N; CN",8,1,14,14,60.71,402.98,100,82,72,874,70.48,1,71.48,9.299,"None",154,96
60830019032,2,3,1.08,"ALPHA; AL","CR6; ALPHA; NO3N",4,0,4,4,100,360.77,100,79,87,619,15.57,0,15.57,22.716,"None",166,98
60830019033,2,2,1.13,"ALPHA; AL","ALPHA; NO3N",1,0,3,3,33.33,103.76,100,36,56,1236,4.32,0,4.32,5.018,"None",92,71
60830019034,5,3,1.97,"DCE12C; VC; TL; ALPHA; AL","ALPHA; NO3N; CN",5,0,9,9,55.56,372.07,100,81,62,2403,24.65,0,24.65,6.291,"None",143,93
60830019035,2,2,1.11,"ALPHA; AL","ALPHA; NO3N",2,0,4,4,50,155.53,100,51,96,1363,6.49,9,15.49,56.714,"None",147,94
60830019051,4,2,1.95,"CR6; F; ALPHA; THM","CR6; F",26,2,74,155,17.42,90.5,47.74,34,12,1099,134.47,0,134.47,0.765,"None",46,32
60830019052,3,1,1.49,"CR6; ALPHA; THM","CR6",2,0,3,3,66.67,243.24,100,68,93,636,28.54,3,31.54,37.684,"None",161,97
60830019053,4,2,2.49,"CR6; F; ALPHA; THM","CR6; F",10,1,16,16,65.62,344.46,100,78,71,836,83.02,0,83.02,9.268,"None",149,95
60830019061,1,1,1.54,"CR6","CR6",4,1,6,6,75,124.05,100,46,77,1592,29.83,6,35.83,12.534,"None",123,87
60830019062,1,0,1.2,"CR6","",2,0,2,2,100,111.96,100,39,70,957,12.54,0,12.54,8.699,"Data Not Available",109,82
60830019063,3,3,1.57,"F; CR6; ALPHA","CR6; ALPHA; NO3N",6,0,7,7,85.71,399.13,100,82,75,1131,40.64,0,40.64,11.322,"None",157,96
60830019064,5,4,1.44,"CR6; TCPR123; ALPHA; F; AL","CR6; F; ALPHA; NO3N",16,0,100,140,11.43,81.65,71.43,32,9,1055,80.86,1,81.86,0.593,"None",41,28
60830019065,3,3,1.41,"CR6; ALPHA; AL","CR6; ALPHA; NO3N",11,0,21,21,52.38,243.09,100,68,42,1091,44.1,0,44.1,3.096,"DAC",110,83
60830020052,1,0,1.01,"CR6","",2,0,7,7,28.57,31.45,100,17,37,1439,4.76,0,4.76,2.503,"None",54,38
60830020061,3,2,1.17,"AS; CR6; NO3N","SE; NO3N",14,0,105,202,6.93,28.53,51.98,16,7,1737,105.93,0,105.93,0.498,"None",23,15
60830020062,2,1,2.49,"NO3N; CR6","NO3N",17,4,38,41,46.34,127.4,92.68,46,23,1246,56.64,0,56.64,1.466,"None",69,50
60830020071,1,1,2.26,"NO3N","NO3N",2,0,2,2,100,172.58,100,58,68,869,3.03,0,3.03,7.837,"DAC",126,88
60830020074,1,1,3.48,"NO3N","NO3N",4,0,4,4,100,184.78,100,60,53,3457,4.32,0,4.32,4.452,"None",113,84
60830020077,1,1,1.98,"NO3N","NO3N",6,0,6,6,100,169.81,100,57,83,2045,9.08,0,9.08,17.683,"None",140,92
60830020081,1,1,1.13,"NO3N","NO3N",3,0,4,4,75,120.99,100,44,83,1779,7.78,0,7.78,16.964,"None",127,89
60830020083,1,1,1.17,"NO3N","NO3N",3,0,3,3,100,161.73,100,54,83,844,6.05,0,6.05,17.499,"None",137,92
60830020092,1,1,1.18,"NO3N","NO3N",1,0,5,5,20,32.36,100,17,76,1161,4.32,0,4.32,11.625,"None",93,72
60830020101,1,1,1.12,"NO3N","NO3N",1,0,3,3,33.33,53.72,100,22,54,1759,2.59,0,2.59,4.656,"None",76,56
60830020111,1,1,2.01,"NO3N","NO3N",4,0,4,4,100,170.13,100,58,60,2160,7.78,0,7.78,5.826,"None",118,86
60830020112,1,1,1.38,"NO3N","NO3N",11,0,12,12,91.67,150.12,100,51,30,540,16.86,0,16.86,1.974,"DAC",81,60
60830020113,1,1,1.3,"NO3N","NO3N",4,0,4,4,100,162.96,100,56,27,3762,1.3,0,1.3,1.664,"None",83,62
60830020121,1,1,1.21,"NO3N","NO3N",2,0,2,2,100,162.09,100,54,33,1061,1.3,0,1.3,2.205,"None",87,66
60830020122,1,1,1.18,"NO3N","NO3N",1,0,2,2,50,80.89,100,31,57,1195,1.73,0,1.73,5.245,"None",88,67
60830020123,1,1,1.21,"NO3N","NO3N",2,0,5,5,40,64.84,100,28,72,786,9.51,0,9.51,9.72,"None",100,79
60830020131,1,1,1.21,"NO3N","NO3N",2,0,4,4,50,81.05,100,32,78,1362,9.51,0,9.51,12.697,"None",110,83
60830020132,1,1,1.25,"NO3N","NO3N",6,0,8,8,75,121.89,100,45,42,1421,10.38,0,10.38,3.041,"None",87,66
60830021011,1,1,4.02,"NO3N","NO3N",3,0,5,5,60,114.1,100,41,80,2256,4.32,4,8.32,14.566,"DAC",121,87
60830021021,1,1,3.23,"NO3N","NO3N",2,0,2,2,100,182.32,100,59,20,1186,0.43,0,0.43,1.241,"None",79,58
60830021022,1,0,4.91,"NO3N","",2,0,2,2,100,149.11,100,51,42,1057,1.3,0,1.3,3.013,"None",93,72
60830021031,1,1,3.16,"NO3N","NO3N",4,0,4,4,100,181.56,100,59,77,1187,2.16,0,2.16,12.014,"DAC",136,91
60830021032,1,1,2.96,"NO3N","NO3N",4,0,4,4,100,179.56,100,59,79,2140,4.76,0,4.76,13.705,"SDAC",138,92
60830021033,1,1,4.32,"NO3N","NO3N",6,0,6,6,100,193.19,100,61,65,1184,7.78,0,7.78,7.002,"None",126,88
60830022052,0,1,0,"","NO3N",0,1,2,2,25,12.5,100,8,45,1335,0.86,0,0.86,3.339,"None",53,37
60830022053,1,1,1.06,"NO3N","NO3N",1,1,3,3,50,80.32,100,31,54,2665,0.86,0,0.86,4.59,"SDAC",85,64
60830022091,0,1,0,"","NO3N",0,2,2,2,50,25,100,14,67,1929,3.46,0,3.46,7.487,"None",81,60
60830022092,0,1,0,"","NO3N",0,1,1,1,50,25,100,14,57,1677,0.86,0,0.86,5.056,"None",71,52
60830022101,0,1,0,"","NO3N",0,2,3,3,33.33,16.67,100,9,20,2814,1.3,0,1.3,1.219,"None",29,19
60830022103,0,1,0,"","NO3N",0,1,4,4,12.5,6.25,100,3,84,2250,3.89,0,3.89,18.529,"None",87,66
60830022112,1,1,3.57,"NO3N","NO3N",4,0,8,9,44.44,82.52,88.89,33,30,1094,5.62,0,5.62,1.921,"None",63,45
60830022114,1,1,4.2,"NO3N","NO3N",3,0,4,4,75,143.97,100,50,44,1055,5.19,0,5.19,3.252,"DAC",94,73
60830023032,1,1,1.06,"NO3N","NO3N",1,1,2,2,75,120.48,100,44,79,1559,2.59,0,2.59,13.872,"None",123,87
60830023033,1,1,1.06,"NO3N","NO3N",1,1,2,2,75,120.48,100,44,81,1678,2.59,0,2.59,15.524,"DAC",125,88
60830023034,1,1,1.06,"NO3N","NO3N",2,2,4,4,75,120.48,100,44,90,1592,4.32,0,4.32,29.138,"DAC",134,91
60830023043,1,1,1.06,"NO3N","NO3N",2,0,2,2,100,160.64,100,53,71,1553,1.73,0,1.73,9.128,"None",124,88
60830023044,1,1,1.06,"NO3N","NO3N",2,0,2,2,100,160.64,100,53,63,1951,1.73,0,1.73,6.39,"SDAC",116,85
60830023051,0,1,0,"","NO3N",0,2,2,2,50,25,100,14,81,1424,3.46,0,3.46,15.675,"SDAC",95,74
60830023052,0,1,0,"","NO3N",0,1,1,1,50,25,100,14,82,1237,2.59,0,2.59,16.717,"None",96,75
60830023053,0,1,0,"","NO3N",0,1,1,1,50,25,100,14,80,2167,2.59,0,2.59,14.546,"None",94,73
60830023054,0,1,0,"","NO3N",0,2,2,2,50,25,100,14,78,2151,2.59,0,2.59,12.966,"None",92,71
60830023061,0,1,0,"","NO3N",0,4,4,4,50,25,100,14,83,1535,6.92,0,6.92,17.22,"None",97,76
60830023062,0,1,0,"","NO3N",0,3,3,3,50,25,100,14,89,2209,6.05,0,6.05,27.477,"None",103,80
60830023063,0,1,0,"","NO3N",0,1,1,1,50,25,100,14,73,1096,2.59,0,2.59,10.172,"SDAC",87,66
60830023064,1,1,2.5,"NO3N","NO3N",11,3,15,15,83.33,145.84,100,50,17,4674,14.27,0,14.27,1.103,"None",67,49
60830024021,1,1,2.08,"NO3N","NO3N",2,0,2,2,100,170.78,100,58,19,1124,0.43,0,0.43,1.197,"None",77,57
60830024022,1,1,1.61,"NO3N","NO3N",16,1,18,18,91.67,152.24,100,51,34,7302,19.89,0,19.89,2.272,"None",85,64
60830024023,1,1,1.93,"NO3N","NO3N",1,0,1,1,100,169.27,100,57,74,1469,0.43,0,0.43,10.665,"SDAC",131,90
60830024024,1,1,2.12,"NO3N","NO3N",2,0,2,2,100,171.16,100,58,57,2893,1.3,0,1.3,5.208,"None",115,85
60830024031,1,1,1.93,"NO3N","NO3N",5,0,6,6,83.33,141.09,100,50,81,2134,5.62,0,5.62,15.229,"SDAC",131,90
60830024033,1,1,1.65,"NO3N","NO3N",2,0,2,2,100,166.46,100,56,84,2729,3.46,0,3.46,18.595,"DAC",140,92
60830024042,1,1,1.65,"NO3N","NO3N",2,0,2,2,100,166.46,100,56,88,1878,3.46,0,3.46,23.969,"DAC",144,93
60830024044,1,1,1.65,"NO3N","NO3N",2,0,2,2,100,166.46,100,57,91,2886,3.46,0,3.46,31.264,"DAC",148,94
60830025021,1,0,1.17,"NO3N","",2,0,2,2,100,111.72,100,39,74,1116,2.16,0,2.16,10.274,"SDAC",113,84
60830025022,1,0,1.17,"NO3N","",4,0,4,4,100,111.72,100,39,43,3265,4.32,0,4.32,3.188,"DAC",82,61
60830025023,1,1,2.22,"NO3N","NO3N",26,0,34,87,29.89,51.47,39.08,21,3,1207,20.32,0,20.32,0.216,"SDAC",24,15
60830025024,1,0,1.17,"NO3N","",2,0,2,2,100,111.72,100,39,57,1931,2.16,0,2.16,5.225,"SDAC",96,75
60830026041,1,2,11.24,"NO3N","AS; NO3N",2,3,10,11,31.82,99.42,90.91,36,6,2942,3.46,0,3.46,0.365,"None",42,29
60830026061,2,2,3.44,"NO3N; VC","NO3N; AS",16,1,89,206,8.01,26.78,43.2,15,1,3395,14.27,0,14.27,0.061,"None",16,10
60830027021,2,2,13.28,"AS; NO3N","AS; NO3N",1,0,1,1,100,432.79,100,84,82,1387,0.86,2,2.86,15.86,"SDAC",166,98
60830027022,2,2,13.28,"AS; NO3N","AS; NO3N",1,0,1,1,100,432.79,100,84,71,1085,0.86,0,0.86,8.918,"SDAC",155,96
60830027023,2,2,13.28,"AS; NO3N","AS; NO3N",1,0,1,1,100,432.79,100,84,61,1949,0.86,0,0.86,6.071,"SDAC",145,94
60830027024,2,2,13.56,"NO3N; AS","NO3N; AS",2,0,2,2,100,435.63,100,85,66,1924,1.73,0,1.73,7.195,"DAC",151,95
60830027025,2,2,13.56,"NO3N; AS","NO3N; AS",2,0,2,2,100,435.63,100,85,74,1347,1.73,0,1.73,10.517,"SDAC",159,97
60830027031,2,2,6.67,"AS; NO3N","AS; NO3N",3,0,3,3,100,366.74,100,81,69,2459,5.19,0,5.19,8.29,"None",150,95
60830027032,2,2,7.63,"AS; NO3N","AS; NO3N",2,0,2,2,100,376.3,100,81,24,2066,0.86,0,0.86,1.51,"SDAC",105,81
60830027051,1,2,14.69,"NO3N","AS; NO3N",1,1,2,2,75,260.18,100,69,66,1457,1.73,0,1.73,7.178,"None",135,91
60830027052,2,2,13.28,"AS; NO3N","AS; NO3N",1,1,2,2,75,324.59,100,77,49,1911,1.3,0,1.3,3.919,"SDAC",126,88
60830027053,2,2,13.85,"NO3N; AS","NO3N; AS",3,1,4,4,87.5,383.64,100,81,86,800,3.46,0,3.46,21.781,"Data Not Available",167,98
60830027061,2,1,1.77,"AS; NO3N","AS",2,0,2,2,100,267.67,100,71,70,1103,2.16,0,2.16,8.843,"DAC",141,93
